programa,-1,-1,-2
hipotenusa@,-55,0,-2
;,-75,-1,-2
variables,-15,-1,2
real,-12,-1,3
radio%,-52,0,3
,,-76,-1,3
radiocuadrado%,-52,1,3
,,-76,-1,3
radiocuadrado%,-52,1,3
,,-76,-1,3
area%,-52,2,3
;,-75,-1,3
logico,-14,-1,4
cumple#,-54,3,4
;,-75,-1,4
inicio,-2,-1,5
repetir,-9,-1,6
inicio,-2,-1,7
radio%,-52,0,8
=,-26,-1,8
leer,-4,-1,8
(,-73,-1,8
),-74,-1,8
;,-75,-1,8
radiocuadrado%,-52,1,9
=,-26,-1,9
(,-73,-1,9
radio%,-52,0,9
*,-21,-1,9
radio%,-52,0,9
),-74,-1,9
;,-75,-1,9
area%,-52,2,-20
=,-26,-1,-20
3.1416,-62,-1,-20
*,-21,-1,-20
radiocuadrado%,-52,1,-20
;,-75,-1,-20
escribir,-5,-1,-21
(,-73,-1,-21
"Area: ",-63,-1,-21
+,-24,-1,-21
area%,-52,2,-21
),-74,-1,-21
;,-75,-1,-21
fin,-3,-1,-22
hasta,-10,-1,-23
(,-73,-1,-23
radio%,-52,0,-23
>,-33,-1,-23
5.0,-62,-1,-23
),-74,-1,-23
si,-6,-1,-24
(,-73,-1,-24
area%,-52,2,-24
>,-33,-1,-24
10.0,-62,-1,-24
),-74,-1,-23
entonces,-16,-1,-24
inicio,-2,-1,-25
escribir,-5,-1,-26
(,-73,-1,-26
"El area es mayor a 10",-63,-1,-26
),-74,-1,-26
;,-75,-1,-26
fin,-3,-1,-27
sino,-7,-1,-28
inicio,-2,-1,-29
escribir,-5,-1,20
(,-73,-1,20
"El area NO es mayor a 10",-63,-1,20
),-74,-1,20
;,-75,-1,20
fin,-3,-1,21
mientras,-8,-1,22
(,-73,-1,22
cumple#,-54,3,22
==,-35,-1,22
true,-64,-1,22
),-74,-1,22
hacer,-17,-1,22
inicio,-2,-1,23
escribir,-5,-1,24
(,-73,-1,24
"Hola",-63,-1,24
),-74,-1,24
;,-75,-1,24
cumple#,-54,3,25
=,-26,-1,25
false,-65,-1,25
;,-75,-1,25
fin,-3,-1,26
fin,-3,-1,27
